Model,Difficulty,Mean_Score,Std_Score,Median_Score,Min_Score,Max_Score,Sample_Count
Meta-Llama-3-8B,Easy,0.5285714285714286,0.3475379668672437,0.65,0.0,1.0,210
Meta-Llama-3-8B,Hard,0.46576354679802956,0.3271884176507226,0.6,0.0,0.9,203
Meta-Llama-3-8B,Medium,0.5340673575129533,0.33815586296702466,0.6,0.0,1.0,386
Meta-Llama-3-8B,easy,0.5883333333333333,0.3302776609662441,0.675,0.0,0.85,30
Meta-Llama-3-8B,hard,0.85,0.0,0.85,0.85,0.85,4
Meta-Llama-3-8B,medium,0.58,0.2908116719999879,0.65,0.0,0.85,15
Mistral-7B-v0.1,Easy,0.49571428571428566,0.36201947433106674,0.6,0.0,1.0,210
Mistral-7B-v0.1,Hard,0.35123152709359606,0.332647585932717,0.2,0.0,0.85,203
Mistral-7B-v0.1,Medium,0.4516839378238342,0.36412644243311787,0.6,0.0,1.0,386
Mistral-7B-v0.1,easy,0.38166666666666665,0.3147202735362193,0.325,0.0,0.85,30
Mistral-7B-v0.1,hard,0.2125,0.42499999999999993,0.0,0.0,0.85,4
Mistral-7B-v0.1,medium,0.3633333333333333,0.3884339742877191,0.2,0.0,0.85,15
deepseek-llm-7b-chat,Easy,0.3952380952380952,0.4900699983946151,0.0,0.0,1.0,210
deepseek-llm-7b-chat,Hard,0.5643152709359606,0.49520506714695506,1.0,0.0,1.0,203
deepseek-llm-7b-chat,Medium,0.4572512953367876,0.4976066997094396,0.0,0.0,1.1,386
deepseek-llm-7b-chat,easy,0.3333333333333333,0.47946330148538413,0.0,0.0,1.0,30
deepseek-llm-7b-chat,hard,0.625,0.75,0.5,0.0,1.5,4
deepseek-llm-7b-chat,medium,0.4666666666666667,0.5163977794943222,0.0,0.0,1.0,15
aya-expanse-8b,Easy,0.7623809523809523,0.24507404919249481,0.85,0.0,1.0,210
aya-expanse-8b,Hard,0.6748768472906403,0.2719281348093689,0.85,0.0,1.0,203
aya-expanse-8b,Medium,0.6970725388601035,0.2745366437297953,0.85,0.0,1.0,386
aya-expanse-8b,easy,0.7450000000000002,0.253713794767199,0.85,0.0,0.95,30
aya-expanse-8b,hard,0.5125,0.361420807370024,0.6,0.0,0.85,4
aya-expanse-8b,medium,0.7633333333333333,0.2191433538207571,0.85,0.25,0.95,15
Qwen2.5-7B-Instruct,Easy,0.8457142857142855,0.14016638877189275,0.85,0.0,1.0,210
Qwen2.5-7B-Instruct,Hard,0.8073891625615762,0.17539088250005103,0.85,0.0,1.0,203
Qwen2.5-7B-Instruct,Medium,0.8262953367875646,0.1494631286817616,0.85,0.0,1.0,386
Qwen2.5-7B-Instruct,easy,0.8466666666666668,0.09553238603536077,0.85,0.6,1.0,30
Qwen2.5-7B-Instruct,hard,0.5875,0.402854398842394,0.75,0.0,0.85,4
Qwen2.5-7B-Instruct,medium,0.8499999999999999,0.0654653670707977,0.85,0.65,0.95,15
